 ,Track no,Slice no,X,Y,Distance,Velocity,Pixel Value
1,1,1,254,1,-1,-1,32211
2,1,2,256,1,0.258,0.129,23522
3,1,3,260,2,0.532,0.266,17448
4,1,4,262,3,0.288,0.144,15611
5,1,5,266,3,0.516,0.258,15598
6,1,6,266,3,0,0,16052
7,1,7,268,3,0.258,0.129,17553
8,1,8,270,3,0.258,0.129,16843
9,1,9,272,3,0.258,0.129,13090
10,1,10,269,3,0.387,0.194,15913
11,1,11,268,3,0.129,0.065,13176
12,1,12,266,2,0.288,0.144,20109
13,1,13,266,2,0,0,26470
14,1,14,266,2,0,0,10162
15,1,15,270,2,0.516,0.258,18399
16,1,16,270,6,0.516,0.258,11051
17,1,17,269,16,1.296,0.648,16794
18,1,18,277,22,1.29,0.645,11522
19,1,19,276,28,0.785,0.392,14362
20,1,20,279,34,0.865,0.433,10007
21,1,21,285,41,1.189,0.595,13157
22,1,22,290,50,1.328,0.664,10985
23,1,23,298,61,1.755,0.877,9865
24,1,24,304,76,2.084,1.042,8611
25,1,25,303,90,1.811,0.905,10901
26,1,26,300,98,1.102,0.551,12620
27,1,27,284,104,2.204,1.102,13667
28,1,28,268,120,2.919,1.459,17122
29,1,29,258,132,2.015,1.008,15019
30,1,30,257,129,0.408,0.204,26412
31,1,31,279,112,3.587,1.793,23142
32,1,32,298,92,3.559,1.779,25885
33,1,33,318,75,3.386,1.693,16787
34,1,34,338,76,2.583,1.292,12469
35,1,35,322,76,2.064,1.032,21007
36,1,36,292,98,4.799,2.4,42887
37,1,37,261,130,5.747,2.874,52273
38,1,38,253,182,6.787,3.393,43806
39,1,39,245,213,4.13,2.065,52825
40,1,40,234,220,1.682,0.841,34156
41,1,41,256,160,8.244,4.122,57597
42,1,42,262,136,3.191,1.596,33778
43,1,43,274,111,3.577,1.789,38640
44,1,44,286,98,2.282,1.141,35176
45,1,45,279,115,2.372,1.186,38832
46,1,46,266,154,5.303,2.652,35311
47,1,47,290,127,4.66,2.33,32322
48,1,48,290,136,1.161,0.581,26323
49,1,49,286,152,2.128,1.064,31923
50,1,50,264,159,2.978,1.489,27399
51,1,51,262,154,0.695,0.347,29545
52,1,52,262,154,0,0,21948
53,1,53,264,152,0.365,0.182,21133
54,1,54,259,146,1.008,0.504,16541
55,1,55,254,127,2.534,1.267,25486
56,1,56,248,122,1.008,0.504,35887
57,1,57,247,124,0.288,0.144,23283
58,1,58,242,115,1.328,0.664,31448
59,1,59,232,107,1.652,0.826,32434
60,1,60,226,105,0.816,0.408,65281
61,1,61,214,102,1.596,0.798,65258
62,1,62,212,109,0.939,0.47,38149
63,1,63,201,112,1.471,0.735,30576
64,1,64,190,114,1.442,0.721,28509
65,1,65,185,110,0.826,0.413,23395
66,1,66,183,102,1.064,0.532,23329
67,1,67,173,93,1.736,0.868,22262
68,1,68,170,82,1.471,0.735,20014
69,1,69,161,73,1.642,0.821,20104
70,1,70,149,66,1.792,0.896,21400
71,1,71,149,66,0,0,18660
72,1,72,132,65,2.197,1.098,20898
73,1,73,119,59,1.847,0.923,24469
74,3,1,190,10,-1,-1,31167
75,3,2,190,10,0,0,15536
76,3,3,192,10,0.258,0.129,13695
77,3,4,194,10,0.258,0.129,13886
78,3,5,194,10,0,0,13130
79,3,6,194,10,0,0,13284
80,3,7,194,10,0,0,11772
81,3,8,194,10,0,0,10999
82,3,9,194,13,0.387,0.194,12729
83,3,10,186,12,1.04,0.52,9776
84,3,11,186,12,0,0,10246
85,3,12,186,12,0,0,13009
86,3,13,192,10,0.816,0.408,9974
87,3,14,188,10,0.516,0.258,15933
88,3,15,188,10,0,0,12157
89,3,16,188,10,0,0,14498
90,3,17,190,12,0.365,0.182,11351
91,3,18,190,12,0,0,12937
92,3,19,190,12,0,0,13369
93,3,20,189,12,0.129,0.065,13078
94,3,21,189,12,0,0,12841
95,3,22,189,12,0,0,12059
96,3,23,189,12,0,0,15805
97,3,24,188,16,0.532,0.266,17849
98,3,25,190,16,0.258,0.129,18554
99,3,26,190,16,0,0,19203
100,3,27,190,16,0,0,19976
101,3,28,188,15,0.288,0.144,20323
102,3,29,188,15,0,0,20855
103,3,30,189,15,0.129,0.065,20360
104,3,31,188,12,0.408,0.204,17143
105,3,32,186,13,0.288,0.144,16071
106,3,33,184,13,0.258,0.129,18515
107,3,34,184,13,0,0,16386
108,3,35,185,13,0.129,0.065,17205
109,3,36,186,12,0.182,0.091,20574
110,3,37,186,12,0,0,16181
111,3,38,186,12,0,0,17810
112,3,39,186,12,0,0,19690
113,3,40,187,12,0.129,0.065,24290
114,3,41,186,12,0.129,0.065,20467
115,3,42,182,12,0.516,0.258,13709
116,3,43,184,12,0.258,0.129,20449
117,3,44,184,12,0,0,19319
118,3,45,187,14,0.465,0.233,25207
119,3,46,187,14,0,0,30316
120,3,47,187,13,0.129,0.065,21532
121,3,48,185,11,0.365,0.182,23221
122,3,49,186,12,0.182,0.091,24279
123,3,50,186,12,0,0,25210
124,3,51,186,12,0,0,26454
125,3,52,188,13,0.288,0.144,28262
126,3,53,187,13,0.129,0.065,28461
127,3,54,187,13,0,0,29951
128,3,55,187,13,0,0,32076
129,3,56,187,13,0,0,28308
130,3,57,187,13,0,0,32865
131,3,58,187,13,0,0,27376
132,3,59,187,13,0,0,30899
133,3,60,187,13,0,0,33747
134,3,61,187,13,0,0,28385
135,3,62,187,13,0,0,28215
136,3,63,187,13,0,0,26406
137,3,64,187,13,0,0,31029
138,3,65,187,13,0,0,27786
139,3,66,187,13,0,0,30169
140,3,67,187,13,0,0,31072
141,3,68,187,13,0,0,27628
142,3,69,187,13,0,0,33782
143,3,70,187,13,0,0,32329
144,3,71,187,13,0,0,32263
145,3,72,187,13,0,0,30120
146,3,73,187,13,0,0,35072
147,5,1,150,58,-1,-1,41759
148,5,2,150,58,0,0,38316
149,5,3,150,58,0,0,32586
150,5,4,151,58,0.129,0.065,31076
151,5,5,152,62,0.532,0.266,27998
152,5,6,152,64,0.258,0.129,21965
153,5,7,152,66,0.258,0.129,22578
154,5,8,152,68,0.258,0.129,19096
155,5,9,144,63,1.217,0.608,21509
156,5,10,145,62,0.182,0.091,16958
157,5,11,142,60,0.465,0.233,17876
158,5,12,140,57,0.465,0.233,18080
159,5,13,140,59,0.258,0.129,20285
160,5,14,138,60,0.288,0.144,18670
161,5,15,132,66,1.095,0.547,23273
162,5,16,132,66,0,0,21211
163,5,17,129,66,0.387,0.194,19073
164,5,18,126,67,0.408,0.204,23824
165,5,19,123,67,0.387,0.194,28330
166,5,20,118,72,0.912,0.456,25018
167,5,21,120,74,0.365,0.182,26117
168,5,22,121,78,0.532,0.266,32222
169,5,23,124,82,0.645,0.323,36643
170,5,24,123,89,0.912,0.456,37270
171,5,25,132,92,1.224,0.612,39215
172,5,26,139,96,1.04,0.52,35816
173,5,27,146,98,0.939,0.47,34618
174,5,28,152,99,0.785,0.392,38754
175,5,29,160,99,1.032,0.516,38880
176,5,30,168,98,1.04,0.52,40129
177,5,31,180,96,1.569,0.785,37514
178,5,32,185,93,0.752,0.376,37033
179,5,33,190,92,0.658,0.329,41671
180,5,34,194,92,0.516,0.258,35294
181,5,35,200,86,1.095,0.547,29521
182,5,36,204,83,0.645,0.323,38232
183,5,37,206,83,0.258,0.129,46623
184,5,38,211,81,0.695,0.347,39887
185,5,39,212,78,0.408,0.204,47479
186,5,40,214,74,0.577,0.288,39709
187,5,41,214,70,0.516,0.258,38072
188,5,42,214,72,0.258,0.129,48111
189,5,43,214,67,0.645,0.323,37956
190,5,44,214,66,0.129,0.065,44627
191,5,45,214,64,0.258,0.129,46472
192,5,46,219,62,0.695,0.347,49228
193,5,47,219,57,0.645,0.323,38664
194,5,48,218,62,0.658,0.329,52616
195,5,49,222,60,0.577,0.288,40671
196,5,50,222,58,0.258,0.129,44844
197,5,51,222,58,0,0,40389
198,5,52,218,58,0.516,0.258,34859
199,5,53,222,58,0.516,0.258,35355
200,5,54,224,58,0.258,0.129,39628
201,5,55,228,52,0.93,0.465,45395
202,5,56,231,50,0.465,0.233,50134
203,5,57,235,47,0.645,0.323,47793
204,5,58,234,44,0.408,0.204,58437
205,5,59,231,42,0.465,0.233,53653
206,5,60,227,46,0.73,0.365,44277
207,5,61,228,45,0.182,0.091,48988
208,5,62,228,43,0.258,0.129,42916
209,5,63,232,43,0.516,0.258,45607
210,5,64,233,42,0.182,0.091,42330
211,5,65,234,39,0.408,0.204,55459
212,5,66,231,42,0.547,0.274,43159
213,5,67,234,39,0.547,0.274,51585
214,5,68,237,34,0.752,0.376,43278
215,5,69,232,34,0.645,0.323,43287
216,5,70,236,34,0.516,0.258,44708
217,5,71,238,30,0.577,0.288,48851
218,5,72,235,28,0.465,0.233,45580
219,5,73,235,28,0,0,45063
220,7,1,212,50,-1,-1,31132
221,7,2,212,50,0,0,31146
222,7,3,212,50,0,0,26712
223,7,4,214,50,0.258,0.129,21927
224,7,5,214,51,0.129,0.065,24381
225,7,6,216,52,0.288,0.144,15302
226,7,7,218,52,0.258,0.129,14115
227,7,8,219,53,0.182,0.091,12875
228,7,9,219,53,0,0,11865
229,7,10,219,53,0,0,12312
230,7,11,219,53,0,0,11886
231,7,12,219,54,0.129,0.065,11182
232,7,13,218,54,0.129,0.065,11618
233,7,14,214,60,0.93,0.465,20025
234,7,15,217,56,0.645,0.323,18520
235,7,16,220,56,0.387,0.194,14962
236,7,17,221,56,0.129,0.065,10983
237,7,18,221,57,0.129,0.065,19248
238,7,19,223,54,0.465,0.233,10237
239,7,20,223,53,0.129,0.065,14452
240,7,21,224,53,0.129,0.065,16141
241,7,22,226,52,0.288,0.144,11336
242,7,23,226,49,0.387,0.194,13139
243,7,24,230,49,0.516,0.258,16019
244,7,25,231,50,0.182,0.091,14953
245,7,26,234,50,0.387,0.194,13773
246,7,27,236,52,0.365,0.182,17397
247,7,28,239,53,0.408,0.204,14557
248,7,29,239,53,0,0,17722
249,7,30,242,53,0.387,0.194,13100
250,7,31,243,50,0.408,0.204,14039
251,7,32,242,50,0.129,0.065,13441
252,7,33,242,47,0.387,0.194,17870
253,7,34,246,46,0.532,0.266,22375
254,7,35,254,32,2.08,1.04,15431
255,7,36,250,25,1.04,0.52,20488
256,7,37,253,16,1.224,0.612,21421
257,7,38,257,8,1.154,0.577,17724
258,7,39,261,5,0.645,0.323,20985
259,7,40,269,5,1.032,0.516,25660
260,7,41,273,4,0.532,0.266,19749
261,7,42,277,4,0.516,0.258,21274
262,7,43,282,4,0.645,0.323,17051
263,7,44,286,4,0.516,0.258,19254
264,7,45,292,5,0.785,0.392,21911
265,7,46,296,3,0.577,0.288,20247
266,7,47,300,3,0.516,0.258,22704
267,7,48,306,3,0.774,0.387,26222
268,7,49,310,1,0.577,0.288,23352
269,7,50,311,1,0.129,0.065,26975
270,7,51,311,2,0.129,0.065,28000
271,7,52,314,2,0.387,0.194,29738
272,7,53,314,2,0,0,24455
273,7,54,314,2,0,0,22522
274,7,55,317,2,0.387,0.194,20574
275,7,56,319,2,0.258,0.129,26812
276,7,57,320,1,0.182,0.091,21551
277,7,58,328,1,1.032,0.516,21635
278,7,59,329,1,0.129,0.065,21402
279,7,60,333,1,0.516,0.258,19756
280,7,61,332,2,0.182,0.091,21690
281,7,62,334,1,0.288,0.144,21818
282,7,63,343,1,1.161,0.581,20363
283,7,64,350,1,0.903,0.452,26524
284,7,65,354,1,0.516,0.258,23279
285,7,66,352,1,0.258,0.129,19978
286,7,67,358,1,0.774,0.387,31292
287,7,68,362,2,0.532,0.266,25681
288,7,69,368,2,0.774,0.387,25910
289,7,70,368,3,0.129,0.065,19244
290,7,71,368,1,0.258,0.129,27574
291,7,72,370,2,0.288,0.144,28669
292,7,73,368,5,0.465,0.233,21183
293,9,1,508,5,-1,-1,41308
294,9,2,510,0,0.695,0.347,22464
295,10,1,361,104,-1,-1,55498
296,10,2,350,84,2.944,1.472,52875
297,10,3,359,82,1.189,0.595,65510
298,10,4,351,96,2.08,1.04,65516
299,10,5,362,100,1.51,0.755,47749
300,10,6,362,94,0.774,0.387,41728
301,10,7,364,82,1.569,0.785,36374
302,10,8,360,84,0.577,0.288,24591
303,10,9,354,86,0.816,0.408,18840
304,10,10,350,82,0.73,0.365,18431
305,10,11,354,81,0.532,0.266,20881
306,10,12,353,81,0.129,0.065,18257
307,10,13,348,81,0.645,0.323,16759
308,10,14,330,87,2.448,1.224,18708
309,10,15,288,112,6.305,3.153,33981
310,10,16,255,148,6.3,3.15,44786
311,10,17,246,176,3.794,1.897,49131
312,10,18,231,205,4.212,2.106,47185
313,10,19,241,260,7.211,3.606,48338
314,10,20,264,292,5.084,2.542,60807
315,10,21,281,304,2.684,1.342,48339
316,10,22,304,307,2.992,1.496,45581
317,10,23,359,310,7.106,3.553,39791
318,10,24,388,296,4.154,2.077,32082
319,10,25,399,276,2.944,1.472,37294
320,10,26,394,272,0.826,0.413,30138
321,10,27,384,245,3.714,1.857,48680
322,10,28,341,226,6.064,3.032,65510
323,10,29,320,240,3.256,1.628,49242
324,10,30,298,276,5.443,2.721,61520
325,10,31,303,284,1.217,0.608,47457
326,10,32,314,272,2.1,1.05,36421
327,10,33,324,260,2.015,1.008,30113
328,10,34,325,255,0.658,0.329,33074
329,10,35,329,254,0.532,0.266,32780
330,10,36,330,253,0.182,0.091,28668
331,10,37,318,255,1.569,0.785,39149
332,10,38,311,254,0.912,0.456,34968
333,10,39,304,254,0.903,0.452,39426
334,10,40,306,252,0.365,0.182,31362
335,10,41,306,250,0.258,0.129,35023
336,10,42,305,251,0.182,0.091,38459
337,10,43,298,249,0.939,0.47,49801
338,10,44,296,250,0.288,0.144,65513
339,10,45,280,260,2.434,1.217,65515
340,10,46,280,258,0.258,0.129,41120
341,10,47,272,246,1.86,0.93,31230
342,10,48,269,240,0.865,0.433,31038
343,10,49,260,224,2.368,1.184,26445
344,10,50,251,210,2.147,1.073,25161
345,10,51,250,204,0.785,0.392,20072
346,10,52,244,203,0.785,0.392,24798
347,10,53,244,201,0.258,0.129,23173
348,10,54,243,198,0.408,0.204,22021
349,10,55,238,189,1.328,0.664,21364
350,10,56,228,180,1.736,0.868,21119
351,10,57,228,178,0.258,0.129,21617
352,10,58,228,174,0.516,0.258,24898
353,10,59,226,172,0.365,0.182,22758
354,10,60,224,163,1.189,0.595,24297
355,10,61,216,158,1.217,0.608,23653
356,10,62,210,156,0.816,0.408,24805
357,10,63,205,155,0.658,0.329,27441
358,10,64,202,157,0.465,0.233,17260
359,10,65,197,155,0.695,0.347,25307
360,10,66,196,155,0.129,0.065,18813
361,10,67,194,154,0.288,0.144,23866
362,10,68,198,152,0.577,0.288,30469
363,10,69,204,146,1.095,0.547,26405
364,10,70,206,135,1.442,0.721,30525
365,10,71,204,121,1.824,0.912,32359
366,10,72,198,112,1.395,0.698,43438
367,10,73,193,109,0.752,0.376,33461
368,12,1,380,205,-1,-1,53461
369,12,2,378,238,4.265,2.132,61057
370,12,3,369,250,1.935,0.968,29823
371,12,4,360,249,1.168,0.584,45183
372,12,5,352,247,1.064,0.532,31640
373,12,6,344,252,1.217,0.608,36495
374,12,7,340,248,0.73,0.365,19871
375,12,8,336,246,0.577,0.288,24140
376,12,9,334,251,0.695,0.347,28138
377,12,10,332,260,1.189,0.595,15200
378,12,11,325,278,2.491,1.246,17413
379,12,12,325,296,2.322,1.161,18373
380,12,13,319,310,1.965,0.982,18629
381,12,14,321,329,2.465,1.232,17865
382,12,15,326,356,3.542,1.771,15910
383,12,16,325,376,2.583,1.292,16287
384,12,17,326,390,1.811,0.905,15605
385,12,18,321,398,1.217,0.608,11012
386,12,19,314,408,1.575,0.787,11915
387,12,20,308,422,1.965,0.982,20570
388,12,21,309,432,1.296,0.648,18393
389,12,22,306,437,0.752,0.376,16928
390,12,23,300,436,0.785,0.392,13305
391,12,24,291,432,1.271,0.635,11622
392,12,25,292,422,1.296,0.648,14992
393,12,26,290,406,2.08,1.04,11134
394,12,27,292,392,1.824,0.912,11911
395,12,28,302,376,2.434,1.217,9148
396,12,29,311,361,2.257,1.128,6539
397,12,30,316,350,1.559,0.779,9071
398,12,31,316,345,0.645,0.323,11840
399,12,32,312,341,0.73,0.365,10285
400,12,33,306,342,0.785,0.392,15859
401,12,34,296,343,1.296,0.648,16218
402,12,35,293,342,0.408,0.204,9805
403,12,36,294,343,0.182,0.091,12070
404,12,37,284,339,1.389,0.695,17279
405,12,38,269,331,2.193,1.097,11602
406,12,39,258,331,1.419,0.71,16247
407,12,40,256,328,0.465,0.233,15814
408,12,41,250,332,0.93,0.465,22724
409,12,42,257,328,1.04,0.52,11014
410,12,43,257,326,0.258,0.129,14187
411,12,44,253,322,0.73,0.365,14769
412,12,45,246,317,1.11,0.555,15119
413,12,46,238,316,1.04,0.52,25530
414,12,47,235,306,1.347,0.673,65512
415,12,48,210,293,3.635,1.817,65505
416,12,49,205,293,0.645,0.323,25067
417,12,50,206,302,1.168,0.584,21456
418,12,51,207,308,0.785,0.392,18592
419,12,52,205,308,0.258,0.129,15724
420,12,53,203,302,0.816,0.408,13321
421,12,54,204,296,0.785,0.392,14814
422,12,55,204,290,0.774,0.387,16791
423,12,56,208,285,0.826,0.413,16037
424,12,57,215,286,0.912,0.456,15456
425,12,58,219,287,0.532,0.266,15671
426,12,59,224,289,0.695,0.347,20224
427,12,60,232,292,1.102,0.551,14358
428,12,61,234,288,0.577,0.288,20710
429,12,62,234,280,1.032,0.516,23917
430,12,63,234,274,0.774,0.387,22110
431,12,64,233,272,0.288,0.144,20842
432,12,65,233,272,0,0,14999
433,12,66,232,267,0.658,0.329,24767
434,12,67,230,261,0.816,0.408,18394
435,12,68,229,254,0.912,0.456,16330
436,12,69,226,238,2.1,1.05,23546
437,12,70,225,234,0.532,0.266,35603
438,12,71,220,223,1.559,0.779,34718
439,12,72,220,218,0.645,0.323,22583
440,12,73,214,204,1.965,0.982,28582
441,15,1,10,97,-1,-1,37932
442,15,2,15,101,0.826,0.413,49116
443,15,3,16,102,0.182,0.091,32063
444,15,4,14,94,1.064,0.532,23079
445,15,5,10,89,0.826,0.413,10840
446,15,6,6,89,0.516,0.258,9170
447,16,1,8,144,-1,-1,32884
448,16,2,10,150,0.816,0.408,31360
449,16,3,12,149,0.288,0.144,32194
450,16,4,12,150,0.129,0.065,24185
451,16,5,14,151,0.288,0.144,20362
452,16,6,19,156,0.912,0.456,25948
453,16,7,22,157,0.408,0.204,19224
454,16,8,26,162,0.826,0.413,19512
455,16,9,31,164,0.695,0.347,27111
456,16,10,32,168,0.532,0.266,24510
457,16,11,36,170,0.577,0.288,21857
458,16,12,34,171,0.288,0.144,20990
459,16,13,39,171,0.645,0.323,17196
460,16,14,41,172,0.288,0.144,21544
461,16,15,42,172,0.129,0.065,20585
462,16,16,46,174,0.577,0.288,28984
463,16,17,46,170,0.516,0.258,25755
464,16,18,47,163,0.912,0.456,24619
465,16,19,42,160,0.752,0.376,23062
466,16,20,38,156,0.73,0.365,32527
467,16,21,24,157,1.811,0.905,36474
468,16,22,12,157,1.548,0.774,43059
469,16,23,12,149,1.032,0.516,35536
470,16,24,10,140,1.189,0.595,39585
471,16,25,2,131,1.553,0.777,11797
472,17,1,30,201,-1,-1,27587
473,17,2,29,206,0.658,0.329,28006
474,17,3,35,209,0.865,0.433,23017
475,17,4,36,214,0.658,0.329,23859
476,17,5,44,215,1.04,0.52,18302
477,17,6,50,212,0.865,0.433,15244
478,17,7,58,214,1.064,0.532,19018
479,17,8,62,212,0.577,0.288,17875
480,17,9,62,210,0.258,0.129,17413
481,17,10,69,211,0.912,0.456,14371
482,17,11,80,211,1.419,0.71,20460
483,17,12,88,211,1.032,0.516,21795
484,17,13,96,210,1.04,0.52,21207
485,17,14,102,206,0.93,0.465,26376
486,17,15,110,202,1.154,0.577,21402
487,17,16,112,202,0.258,0.129,27874
488,17,17,112,196,0.774,0.387,25938
489,17,18,114,192,0.577,0.288,20726
490,17,19,107,194,0.939,0.47,20933
491,17,20,104,196,0.465,0.233,20181
492,17,21,102,198,0.365,0.182,24649
493,17,22,98,197,0.532,0.266,24060
494,17,23,98,195,0.258,0.129,23412
495,17,24,94,194,0.532,0.266,22272
496,17,25,87,188,1.189,0.595,21818
497,17,26,77,184,1.389,0.695,30795
498,17,27,73,179,0.826,0.413,30985
499,17,28,65,173,1.29,0.645,25153
500,17,29,62,168,0.752,0.376,32835
501,17,30,62,174,0.774,0.387,50820
502,17,31,58,180,0.93,0.465,57243
